simulation_idx,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition,baseline_lux
77,10,ebook_second,21.995000000000005,6.3700000000000045,1.9749999999999943,0.0,eBook,500
77,11,ebook_second,21.995000000000005,6.3700000000000045,1.9800000000000182,0.0,eBook,500
77,12,ebook_second,21.995000000000005,6.3700000000000045,1.9800000000000182,0.0,eBook,500
77,13,ebook_second,21.995000000000005,6.149999999999977,1.9800000000000182,0.0,None,500
62,1,ebook_second,22.8,6.835000000000001,3.5,48.00000000000004,None,500
62,2,ebook_second,22.550000000000004,7.07,3.0650000000000013,33.000000000000256,Book,500
62,3,ebook_second,22.185000000000002,7.030000000000001,3.030000000000001,11.100000000000136,Book,500
62,4,ebook_second,21.995000000000005,7.009999999999991,2.5400000000000063,0.0,Book,500
62,5,ebook_second,21.995000000000005,6.944999999999993,2.180000000000007,0.0,Book,500
62,6,ebook_second,21.995000000000005,6.889999999999986,1.9150000000000063,0.0,Book,500
62,7,ebook_second,21.995000000000005,6.6299999999999955,1.7150000000000034,0.0,None,500
62,8,ebook_second,21.995000000000005,6.9199999999999875,1.460000000000008,0.0,eBook,500
62,9,ebook_second,21.995000000000005,6.909999999999997,1.9800000000000182,0.0,eBook,500
62,10,ebook_second,21.995000000000005,6.914999999999992,1.9749999999999943,0.0,eBook,500
62,11,ebook_second,21.995000000000005,6.9150000000000205,1.9800000000000182,0.0,eBook,500
62,12,ebook_second,21.995000000000005,6.9150000000000205,1.9800000000000182,0.0,eBook,500
62,13,ebook_second,21.995000000000005,6.685000000000002,1.9800000000000182,0.0,None,500
89,1,ebook_second,22.830000000000002,7.164999999999999,3.5,49.80000000000011,None,500
89,2,ebook_second,22.735,7.260000000000005,3.0650000000000013,44.099999999999966,Book,500
89,3,ebook_second,22.370000000000005,7.625,3.030000000000001,22.200000000000273,Book,500
89,4,ebook_second,22.174999999999997,7.780000000000001,2.5400000000000063,10.49999999999983,Book,500
89,5,ebook_second,22.010000000000005,7.715000000000003,2.180000000000007,0.600000000000307,Book,500
89,6,ebook_second,21.995000000000005,7.664999999999992,1.9150000000000063,0.0,Book,500
89,7,ebook_second,21.995000000000005,7.414999999999992,1.7150000000000034,0.0,None,500
89,8,ebook_second,21.995000000000005,7.740000000000009,1.460000000000008,0.0,eBook,500
89,9,ebook_second,22.034999999999997,7.700000000000017,1.9800000000000182,2.0999999999997954,eBook,500
89,10,ebook_second,22.034999999999997,7.700000000000017,1.9749999999999943,2.0999999999997954,eBook,500
89,11,ebook_second,22.04000000000002,7.699999999999989,1.9800000000000182,2.400000000001228,eBook,500
89,12,ebook_second,22.04000000000002,7.699999999999989,1.9800000000000182,2.400000000001228,eBook,500
89,13,ebook_second,21.995000000000005,7.480000000000018,1.9800000000000182,0.0,None,500
61,1,ebook_second,22.205000000000002,6.465,3.5,12.30000000000011,None,500
61,2,ebook_second,21.994999999999997,6.720000000000006,3.0600000000000023,0.0,Book,500
61,3,ebook_second,21.995000000000005,6.6499999999999915,3.030000000000001,0.0,Book,500
61,4,ebook_second,21.995000000000005,6.590000000000003,2.5400000000000063,0.0,Book,500
61,5,ebook_second,21.995000000000005,6.530000000000001,2.180000000000007,0.0,Book,500
61,6,ebook_second,21.995000000000005,6.484999999999985,1.9150000000000063,0.0,Book,500
61,7,ebook_second,21.995000000000005,6.224999999999994,1.7150000000000034,0.0,None,500
61,8,ebook_second,21.995000000000005,6.47999999999999,1.460000000000008,0.0,eBook,500
61,9,ebook_second,21.995000000000005,6.485000000000014,1.9800000000000182,0.0,eBook,500
61,10,ebook_second,21.995000000000005,6.490000000000009,1.9749999999999943,0.0,eBook,500
61,11,ebook_second,21.995000000000005,6.490000000000009,1.9800000000000182,0.0,eBook,500
61,12,ebook_second,21.995000000000005,6.490000000000009,1.9800000000000182,0.0,eBook,500
61,13,ebook_second,21.995000000000005,6.269999999999982,1.9800000000000182,0.0,None,500
59,1,ebook_second,22.77,7.199999999999999,3.5,46.199999999999974,None,500
59,2,ebook_second,22.665,7.330000000000005,3.0650000000000013,39.89999999999995,Book,500
59,3,ebook_second,22.314999999999998,7.299999999999997,3.030000000000001,18.899999999999864,Book,500
59,4,ebook_second,21.995000000000005,7.299999999999997,2.5400000000000063,0.0,Book,500
59,5,ebook_second,21.995000000000005,7.239999999999995,2.180000000000007,0.0,Book,500
59,6,ebook_second,21.995000000000005,7.180000000000007,1.9150000000000063,0.0,Book,500
59,7,ebook_second,21.995000000000005,6.909999999999997,1.7150000000000034,0.0,None,500
59,8,ebook_second,21.995000000000005,7.235000000000014,1.460000000000008,0.0,eBook,500
59,9,ebook_second,21.995000000000005,7.215000000000003,1.9800000000000182,0.0,eBook,500
59,10,ebook_second,21.995000000000005,7.215000000000003,1.9749999999999943,0.0,eBook,500
59,11,ebook_second,21.995000000000005,7.214999999999975,1.9800000000000182,0.0,eBook,500
59,12,ebook_second,21.995000000000005,7.214999999999975,1.9800000000000182,0.0,eBook,500
59,13,ebook_second,21.995000000000005,6.970000000000027,1.9800000000000182,0.0,None,500
65,1,ebook_second,22.5,6.254999999999999,3.5,30.0,None,500
65,2,ebook_second,22.225,6.490000000000002,3.0600000000000023,13.500000000000085,Book,500
65,3,ebook_second,21.995000000000005,6.465000000000003,3.030000000000001,0.0,Book,500
65,4,ebook_second,21.995000000000005,6.420000000000002,2.5400000000000063,0.0,Book,500
65,5,ebook_second,21.995000000000005,6.3700000000000045,2.180000000000007,0.0,Book,500
65,6,ebook_second,21.995000000000005,6.324999999999989,1.9150000000000063,0.0,Book,500
65,7,ebook_second,21.995000000000005,6.069999999999993,1.7150000000000034,0.0,None,500
65,8,ebook_second,21.995000000000005,6.310000000000002,1.460000000000008,0.0,eBook,500
65,9,ebook_second,21.995000000000005,6.319999999999993,1.9800000000000182,0.0,eBook,500
65,10,ebook_second,21.995000000000005,6.319999999999993,1.9749999999999943,0.0,eBook,500
65,11,ebook_second,21.995000000000005,6.324999999999989,1.9800000000000182,0.0,eBook,500
65,12,ebook_second,21.995000000000005,6.324999999999989,1.9800000000000182,0.0,eBook,500
65,13,ebook_second,21.995000000000005,6.110000000000014,1.9800000000000182,0.0,None,500
64,1,ebook_second,23.275000000000002,6.719999999999999,3.5,76.50000000000013,None,500
64,2,ebook_second,23.155,6.840000000000003,3.0650000000000013,69.30000000000007,Book,500
64,3,ebook_second,22.78,7.215000000000003,3.030000000000001,46.80000000000007,Book,500
64,4,ebook_second,22.575000000000003,7.420000000000002,2.5400000000000063,34.50000000000017,Book,500
64,5,ebook_second,22.415000000000006,7.439999999999998,2.180000000000007,24.900000000000375,Book,500
64,6,ebook_second,22.245000000000005,7.425000000000011,1.9150000000000063,14.700000000000273,Book,500
64,7,ebook_second,22.200000000000017,7.189999999999998,1.7150000000000034,12.000000000001023,None,500
64,8,ebook_second,22.379999999999995,7.465000000000003,1.460000000000008,22.799999999999727,eBook,500
64,9,ebook_second,22.495000000000005,7.39500000000001,1.9800000000000182,29.700000000000273,eBook,500
64,10,ebook_second,22.504999999999995,7.390000000000015,1.9749999999999943,30.299999999999727,eBook,500
