simulation_idx,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition
97,2,ebook_second,21.994999999999997,7.395000000000003,2.4450000000000003,0.0,Book
97,3,ebook_second,21.995000000000005,7.334999999999994,2.4299999999999997,0.0,Book
97,4,ebook_second,21.995000000000005,7.289999999999992,2.230000000000004,0.0,Book
97,5,ebook_second,21.995000000000005,7.239999999999995,2.0450000000000017,0.0,Book
97,6,ebook_second,21.995000000000005,7.199999999999989,1.8850000000000051,0.0,Book
97,7,ebook_second,21.995000000000005,7.085000000000008,1.7350000000000136,0.0,None
97,8,ebook_second,21.995000000000005,7.199999999999989,1.6400000000000148,0.0,eBook
97,9,ebook_second,21.995000000000005,7.180000000000007,1.8100000000000023,0.0,eBook
97,10,ebook_second,21.995000000000005,7.175000000000011,1.7800000000000011,0.0,eBook
97,11,ebook_second,21.995000000000005,7.170000000000016,1.7549999999999955,0.0,eBook
97,12,ebook_second,21.995000000000005,7.160000000000025,1.7300000000000182,0.0,eBook
97,13,ebook_second,21.995000000000005,7.074999999999989,1.7099999999999795,0.0,None
98,1,regular,22.330000000000002,7.664999999999999,3.254999999999999,19.80000000000011,None
98,2,regular,22.33,7.665000000000006,3.254999999999999,19.799999999999898,None
98,3,regular,22.33,7.665000000000006,3.25,19.799999999999898,None
98,4,regular,22.33,7.665000000000006,3.25,19.799999999999898,None
98,5,regular,22.33,7.665000000000006,3.25,19.799999999999898,None
98,6,regular,22.330000000000013,7.664999999999992,3.25,19.80000000000075,None
98,7,regular,22.330000000000013,7.664999999999992,3.25,19.80000000000075,None
98,8,regular,22.330000000000013,7.664999999999992,3.25,19.80000000000075,None
98,9,regular,22.330000000000013,7.664999999999992,3.25,19.80000000000075,None
98,10,regular,22.330000000000013,7.664999999999992,3.25,19.80000000000075,None
98,11,regular,22.329999999999984,7.6650000000000205,3.25,19.799999999999045,None
98,12,regular,22.329999999999984,7.6650000000000205,3.25,19.799999999999045,None
98,13,regular,22.329999999999984,7.6650000000000205,3.25,19.799999999999045,None
98,1,ebook_first,22.63,7.365000000000002,3.254999999999999,37.79999999999994,None
98,2,ebook_first,22.744999999999997,7.250000000000007,3.455000000000002,44.69999999999985,eBook
98,3,ebook_first,22.739999999999995,7.25500000000001,3.7550000000000026,44.39999999999969,eBook
98,4,ebook_first,22.769999999999996,7.2250000000000085,3.8100000000000023,46.19999999999976,eBook
98,5,ebook_first,22.795,7.200000000000003,3.8599999999999994,47.7000000000001,eBook
98,6,ebook_first,22.814999999999998,7.180000000000007,3.905000000000001,48.899999999999864,eBook
98,7,ebook_first,22.955000000000013,7.039999999999992,3.9399999999999977,57.30000000000075,None
98,8,ebook_first,23.025000000000006,6.969999999999999,4.075000000000017,61.50000000000034,Book
98,9,ebook_first,22.944999999999993,7.050000000000011,4.259999999999991,56.69999999999959,Book
98,10,ebook_first,22.914999999999992,7.0800000000000125,4.185000000000002,54.89999999999952,Book
98,11,ebook_first,22.879999999999995,7.115000000000009,4.1200000000000045,52.79999999999973,Book
98,12,ebook_first,22.850000000000023,7.144999999999982,4.060000000000002,51.000000000001364,Book
98,13,ebook_first,22.980000000000018,7.014999999999986,4.0049999999999955,58.80000000000109,None
98,1,ebook_second,22.63,7.365000000000002,3.254999999999999,37.79999999999994,None
98,2,ebook_second,22.700000000000003,7.295000000000002,3.455000000000002,42.00000000000017,Book
98,3,ebook_second,22.655,7.340000000000003,3.6750000000000043,39.30000000000007,Book
98,4,ebook_second,22.650000000000006,7.344999999999999,3.6500000000000057,39.00000000000034,Book
98,5,ebook_second,22.64,7.355000000000004,3.6299999999999955,38.400000000000034,Book
98,6,ebook_second,22.629999999999995,7.365000000000009,3.615000000000009,37.79999999999973,Book
98,7,ebook_second,22.775000000000006,7.219999999999999,3.5999999999999943,46.50000000000034,None
98,8,ebook_second,22.88499999999999,7.110000000000014,3.740000000000009,53.099999999999454,eBook
98,9,ebook_second,22.860000000000014,7.134999999999991,4.009999999999991,51.60000000000082,eBook
98,10,ebook_second,22.875,7.1200000000000045,4.034999999999997,52.5,eBook
98,11,ebook_second,22.88499999999999,7.110000000000014,4.060000000000002,53.099999999999454,eBook
98,12,ebook_second,22.900000000000034,7.09499999999997,4.079999999999984,54.000000000002046,eBook
98,13,ebook_second,23.03000000000003,6.964999999999975,4.100000000000023,61.80000000000177,None
99,1,regular,22.595,7.400000000000002,3.865000000000002,35.69999999999993,None
99,2,regular,22.595,7.400000000000006,3.865000000000002,35.69999999999993,None
99,3,regular,22.595,7.400000000000006,3.865000000000002,35.69999999999993,None
