simulation_id,mu,Delta,chi,p,k,tauc,sleep_time,bedtime,number_of_switches,dlmo,x_f,xc_f,n_f,H_f,S_f
74,19.0,6.0,11.0,0.6000000000000001,1.0,24.7,7.359999999999999,24.635,2.0,22.72,-0.1584138779925182,-1.142305570768448,0.7612326496697409,16.5444224193482,0.0
75,19.0,6.0,11.0,0.8,-1.0,23.5,6.609999999999999,23.995,2.0,19.650000000000002,-0.5314485644193436,-0.8509344115606136,0.6702223799201367,17.06388066333008,0.0
78,19.0,6.0,11.0,0.8,-1.0,24.4,7.719999999999999,23.995,2.0,21.88,0.003731986382125051,-1.0822269457203009,0.6702223799201367,16.58379714030405,0.0
80,19.0,6.0,11.0,0.8,-0.5,23.5,7.150000000000002,24.845,2.0,22.72,-0.06997781643822354,-1.09431708224467,0.6702223799201367,16.599136672523763,0.0
85,19.0,6.0,11.0,0.8,0.0,23.5,7.515000000000001,24.035,2.0,21.765,-0.3332326105160968,-1.010521313043384,0.6702223799201367,16.622297989876046,0.0
86,19.0,6.0,11.0,0.8,0.0,23.8,7.34,24.655,2.0,22.535,-0.14477409212898018,-1.0952479108666482,0.6702223799201367,16.55695342059905,0.0
87,19.0,6.0,11.0,0.8,0.0,24.1,6.754999999999999,25.240000000000002,2.0,23.325,0.06425830531168297,-1.1373167251974008,0.6702223799201367,16.674367500295915,0.0
90,19.0,6.0,11.0,0.8,0.5,23.5,7.125,23.995,2.0,20.845,-0.5372856419014154,-0.8362160629058513,0.6702223799201367,16.79703211995142,0.0
91,19.0,6.0,11.0,0.8,0.5,23.8,7.52,23.995,2.0,21.67,-0.3789514494867886,-0.9874840287281352,0.6702223799201367,16.628093935666836,0.0
92,19.0,6.0,11.0,0.8,0.5,24.1,7.5,24.495,2.0,22.385,-0.20956764525523502,-1.0877154489063114,0.6702223799201367,16.522309121720703,0.0
93,19.0,6.0,11.0,0.8,0.5,24.4,7.030000000000001,24.965,2.0,23.060000000000002,-0.03464215229158981,-1.147641025388414,0.6702223799201367,16.61442794435001,0.0
94,19.0,6.0,11.0,0.8,0.5,24.7,6.625,25.37,2.0,23.72,0.1423161912116753,-1.1693477213051684,0.6702223799201367,16.703230917006902,0.0
96,19.0,6.0,11.0,0.8,1.0,23.8,6.954999999999998,23.995,2.0,20.555,-0.5877772588956515,-0.7449112021214899,0.6702223799201367,16.867890426152,0.0
97,19.0,6.0,11.0,0.8,1.0,24.1,7.489999999999998,23.995,2.0,21.54,-0.4270272884255309,-0.9511995509803373,0.6702223799201367,16.641163514056686,0.0
98,19.0,6.0,11.0,0.8,1.0,24.4,7.650000000000002,24.345,2.0,22.255,-0.2693952194005414,-1.071259573912093,0.6702223799201367,16.491321154821485,0.0
99,19.0,6.0,11.0,0.8,1.0,24.7,7.245000000000001,24.75,2.0,22.865000000000002,-0.11521602347188549,-1.1458491976298444,0.6702223799201367,16.568578999187867,0.0
102,19.0,6.0,11.0,1.0,-1.0,24.1,7.16,24.835,2.0,22.915,0.1443564160734236,-1.0786878047442132,0.5643738977070255,16.603728927755107,0.0
104,19.0,6.0,11.0,1.0,-1.0,24.7,7.625,24.37,2.0,22.645,0.19505512571114808,-1.0775886152293492,0.5643738977070255,16.52177647154981,0.0
105,19.0,6.0,11.0,1.0,-0.5,23.5,7.405000000000001,24.59,2.0,22.42,-0.15512940586763355,-1.0629073090941912,0.5643738977070255,16.551135645829863,0.0
109,19.0,6.0,11.0,1.0,-0.5,24.7,7.52,24.475,2.0,22.705000000000002,0.1194735283727084,-1.1015060857963175,0.5643738977070255,16.535974110713628,0.0
110,19.0,6.0,11.0,1.0,0.0,23.5,7.405000000000001,23.995,2.0,21.490000000000002,-0.4010601354090054,-0.961710261722633,0.5643738977070274,16.677906006345076,0.0
111,19.0,6.0,11.0,1.0,0.0,23.8,7.445,24.55,2.0,22.415,-0.1786705894686321,-1.0709644692652616,0.5643738977070255,16.538962283693554,0.0
112,19.0,6.0,11.0,1.0,0.0,24.1,6.710000000000001,25.285,2.0,23.365000000000002,0.072987379036363,-1.1213210535486546,0.5643738977070255,16.684336194526114,0.0
115,19.0,6.0,11.0,1.0,0.5,23.5,6.965,23.995,2.0,20.46,-0.6053545827620028,-0.7599225498205219,0.5643738977070274,16.863755050677643,0.0
116,19.0,6.0,11.0,1.0,0.5,23.8,7.449999999999999,23.995,2.0,21.525000000000002,-0.411487600133941,-0.957713433003147,0.5643738977070274,16.65847632186925,0.0
117,19.0,6.0,11.0,1.0,0.5,24.1,7.484999999999999,24.51,2.0,22.400000000000002,-0.20462575621279122,-1.075900367694825,0.5643738977070255,16.527014596130833,0.0
118,19.0,6.0,11.0,1.0,0.5,24.4,6.900000000000002,25.095,2.0,23.21,0.008786381905073862,-1.1371242144995124,0.5643738977070255,16.642578970418292,0.0
121,19.0,6.0,11.0,1.0,1.0,23.8,6.850000000000001,23.995,2.0,20.27,-0.6338774085885007,-0.6912468570712528,0.5643738977070274,16.911113246096242,0.0
122,19.0,6.0,11.0,1.0,1.0,24.1,7.48,23.995,2.0,21.54,-0.42683646624149046,-0.9483193942085382,0.5643738977070274,16.645478970191093,0.0
123,19.0,6.0,11.0,1.0,1.0,24.4,7.535,24.46,2.0,22.38,-0.23256312025469048,-1.0772108200846815,0.5643738977070255,16.513474407414964,0.0
124,19.0,6.0,11.0,1.0,1.0,24.7,7.059999999999999,24.935000000000002,2.0,23.1,-0.04538512004908509,-1.1470385468951683,0.5643738977070255,16.60797428840075,0.0
