,p,k,tauc,sleep_time,number_of_switches,x_f,xc_f,n_f,H_f,S_f
41,0.4,0.5,23.8,7.590256089943785,2.0,-0.7995344886738409,-0.703862546523765,0.17512126698088631,13.919415427803285,1.0
42,0.4,0.5,24.1,7.555277951280449,2.0,-0.721757204615329,-0.819355241973948,0.17512126698088631,14.421961651296998,1.0
43,0.4,0.5,24.4,7.330418488444722,2.0,-0.6273121621981317,-0.9125297449506191,0.17512126698088631,14.806197520463575,1.0
44,0.4,0.5,24.7,7.095565271705184,2.0,-0.5198890506822677,-0.9868968308009347,0.17512126698088631,15.208063381407296,1.0
45,0.4,1.0,23.5,6.396002498438476,1.0,-0.8073488559511725,-0.14281243137141372,0.17512126698088631,14.257428383945012,1.0
46,0.4,1.0,23.8,7.065584009993754,1.0,-0.8668577096600932,-0.4482134110821322,0.17512126698088631,14.030908358068878,1.0
47,0.4,1.0,24.1,7.495315427857589,1.0,-0.8417864356395014,-0.6293162942407965,0.17512126698088631,13.87808839428546,1.0
48,0.4,1.0,24.4,7.730168644597127,2.0,-0.7865714276894918,-0.7602218330082922,0.17512126698088631,14.12849809178651,1.0
49,0.4,1.0,24.7,7.540287320424735,2.0,-0.7152709348056782,-0.860522759842602,0.17512126698088631,14.44733358512456,1.0
50,0.6000000000000001,-1.0,23.5,3.38788257339163,2.0,0.49170411891363314,-0.15390347515574446,0.15996243827182915,14.672406849256936,1.0
51,0.6000000000000001,-1.0,23.8,5.006870705808869,2.0,0.4756063673326039,-0.766507482915298,0.15996243827182915,17.448658540903914,0.0
52,0.6000000000000001,-1.0,24.1,7.230480949406621,2.0,-0.34569341409760657,-0.9884659169020135,0.15996243827182915,16.133611120512644,1.0
53,0.6000000000000001,-1.0,24.4,3.0031230480949405,2.0,0.4730480620951118,0.20445218573567472,0.15996243827182915,14.767817363954656,1.0
54,0.6000000000000001,-1.0,24.7,7.560274828232354,2.0,-0.25340834518479666,-1.0213243709368836,0.15996243827182915,16.62598944468854,1.0
55,0.6000000000000001,-0.5,23.5,7.13054341036852,2.0,-0.5478152545201744,-0.9028756688126316,0.15996243827182915,15.154401373924959,1.0
56,0.6000000000000001,-0.5,23.8,6.650843222985634,2.0,-0.3214901973773136,-1.0101124323073865,0.15996243827182915,16.016382211185885,1.0
57,0.6000000000000001,-0.5,24.1,5.196752029981262,2.0,0.2616134844957568,-0.925194941335557,0.15996243827182915,17.409586399201707,0.0
58,0.6000000000000001,-0.5,24.4,7.15053091817614,2.0,-0.2967964889270454,-1.0025334435449231,0.15996243827182915,16.286309774330306,1.0
59,0.6000000000000001,-0.5,24.7,3.38788257339163,2.0,0.5306832678320106,-0.15701441352537732,0.15996243827182915,14.672049386989398,1.0
60,0.6000000000000001,0.0,23.5,7.53529044347283,2.0,-0.7598995432017226,-0.7343587763127971,0.15996243827182915,14.143721448643944,1.0
61,0.6000000000000001,0.0,23.8,7.3653966271080575,2.0,-0.6456315120404191,-0.8581501009380683,0.15996243827182915,14.745910090806575,1.0
62,0.6000000000000001,0.0,24.1,7.040599625234228,2.0,-0.5015876580658034,-0.9594726448076787,0.15996243827182915,15.313170519290548,1.0
63,0.6000000000000001,0.0,24.4,6.680824484697064,2.0,-0.32494680286026223,-1.0355596865099868,0.15996243827182915,15.961398188649765,1.0
64,0.6000000000000001,0.0,24.7,6.256089943785135,2.0,-0.10627378084524157,-1.0728889534483568,0.15996243827182915,16.75437247669472,1.0
65,0.6000000000000001,0.5,23.5,7.220487195502811,1.0,-0.8669249090111357,-0.5241102218146466,0.15996243827182915,13.976509399446238,1.0
66,0.6000000000000001,0.5,23.8,7.570268582136165,1.0,-0.8071536457690174,-0.6868001128024332,0.15996243827182915,13.850999433536751,1.0
67,0.6000000000000001,0.5,24.1,7.550281074328544,2.0,-0.7189892364204594,-0.8148912366374284,0.15996243827182915,14.430415118631796,1.0
68,0.6000000000000001,0.5,24.4,7.290443472829481,2.0,-0.6111753761046216,-0.9161107056529629,0.15996243827182915,14.875332735918128,1.0
69,0.6000000000000001,0.5,24.7,7.025608994378514,2.0,-0.4881317417120626,-0.9949431853992847,0.15996243827182915,15.339758566918235,1.0
70,0.6000000000000001,1.0,23.5,6.176139912554653,1.0,-0.77314724307893,-0.01121322260588021,0.15996243827182915,14.328627116518014,1.0
71,0.6000000000000001,1.0,23.8,7.020612117426609,1.0,-0.8760149541956481,-0.4200705588944449,0.15996243827182915,14.046558558013853,1.0
