simulation_id,mu,Delta,chi,p,k,tauc,sleep_time,bedtime,number_of_switches,dlmo,x_f,xc_f,n_f,H_f,S_f
39,19.0,6.0,11.0,0.55,0.55,24.4,7.190000000000001,24.805,2.0,22.865000000000002,-0.09094741962612671,-1.1511484341067773,0.7810873111796259,16.580228807254407,0.0
40,19.0,6.0,11.0,0.55,0.625,23.8,7.484999999999999,23.995,2.0,21.57,-0.4024855594491878,-0.9723781805452754,0.7810873111796259,16.643309296554843,0.0
41,19.0,6.0,11.0,0.55,0.625,23.95,7.625,24.080000000000002,2.0,21.885,-0.3356846572221743,-1.0268431560803422,0.7810873111796259,16.564397209678955,0.0
42,19.0,6.0,11.0,0.55,0.625,24.1,7.68,24.315,2.0,22.185000000000002,-0.26703686660758086,-1.0727745192018099,0.7810873111796259,16.488440509687482,0.0
43,19.0,6.0,11.0,0.55,0.625,24.25,7.445,24.55,2.0,22.47,-0.19770593210282825,-1.1106719423887021,0.7810873111796259,16.528821686118047,0.0
44,19.0,6.0,11.0,0.55,0.625,24.4,7.275000000000002,24.72,2.0,22.745,-0.1275834375966398,-1.1415125488951239,0.7810873111796259,16.562263236496054,0.0
45,19.0,6.0,11.0,0.55,0.7,23.8,7.419999999999998,23.995,2.0,21.44,-0.4322981972588875,-0.9443228625762151,0.7810873111796259,16.67143858543286,0.0
46,19.0,6.0,11.0,0.55,0.7,23.95,7.59,23.995,2.0,21.765,-0.3667190305513532,-1.00400421056994,0.7810873111796259,16.597517590519274,0.0
47,19.0,6.0,11.0,0.55,0.7,24.1,7.695,24.21,2.0,22.065,-0.29975587254908603,-1.0539426341644864,0.7810873111796259,16.506057775538032,0.0
48,19.0,6.0,11.0,0.55,0.7,24.25,7.550000000000001,24.445,2.0,22.35,-0.2314759631374133,-1.0958135930132074,0.7810873111796259,16.509704026729167,0.0
49,19.0,6.0,11.0,0.55,0.7,24.4,7.355,24.64,2.0,22.625,-0.16287823806122437,-1.1300856904583796,0.7810873111796259,16.545470663613006,0.0
50,19.0,6.0,11.0,0.6,0.4,23.8,7.609999999999999,24.135,2.0,21.93,-0.31354693429521485,-1.036254554071327,0.761232649669741,16.559868511968276,0.0
51,19.0,6.0,11.0,0.6,0.4,23.95,7.609999999999999,24.385,2.0,22.240000000000002,-0.2393275036094803,-1.0795383999733685,0.761232649669741,16.502934257491052,0.0
52,19.0,6.0,11.0,0.6,0.4,24.1,7.359999999999999,24.635,2.0,22.545,-0.16352905313216737,-1.1148119775465,0.761232649669741,16.54699376084922,0.0
53,19.0,6.0,11.0,0.6,0.4,24.25,7.16,24.835,2.0,22.845,-0.08612762832535224,-1.1426063180579702,0.761232649669741,16.58660667163144,0.0
54,19.0,6.0,11.0,0.6,0.4,24.4,6.984999999999999,25.01,2.0,23.145,-0.007755902369400144,-1.1628384396760014,0.761232649669741,16.624136155183823,0.0
55,19.0,6.0,11.0,0.6,0.475,23.8,7.585000000000001,24.03,2.0,21.805,-0.3455480827628992,-1.015875354321145,0.761232649669741,16.592631662416885,0.0
56,19.0,6.0,11.0,0.6,0.475,23.95,7.669999999999998,24.275000000000002,2.0,22.12,-0.27347941090873634,-1.0628845446405186,0.761232649669741,16.503369877459768,0.0
57,19.0,6.0,11.0,0.6,0.475,24.1,7.469999999999999,24.525000000000002,2.0,22.425,-0.19929220365148284,-1.1020203846451564,0.761232649669741,16.526429914629084,0.0
58,19.0,6.0,11.0,0.6,0.475,24.25,7.25,24.745,2.0,22.72,-0.12401927624385413,-1.1333916491239737,0.761232649669741,16.56753486576541,0.0
59,19.0,6.0,11.0,0.6,0.475,24.4,7.085000000000001,24.91,2.0,23.01,-0.04794915985852563,-1.1573489154534682,0.761232649669741,16.60262434125229,0.0
60,19.0,6.0,11.0,0.6,0.55,23.8,7.535,23.995,2.0,21.68,-0.37672859700960587,-0.9932382599386261,0.761232649669741,16.621558231954886,0.0
61,19.0,6.0,11.0,0.6,0.55,23.95,7.649999999999999,24.17,2.0,22.0,-0.30624920954938045,-1.0445116441420772,0.761232649669741,16.534778481544635,0.0
62,19.0,6.0,11.0,0.6,0.55,24.1,7.574999999999999,24.42,2.0,22.3,-0.23378608513358598,-1.0874329037030557,0.761232649669741,16.50734582993281,0.0
63,19.0,6.0,11.0,0.6,0.55,24.25,7.335000000000001,24.66,2.0,22.595,-0.16038169598043217,-1.122361544610863,0.761232649669741,16.549653716245178,0.0
64,19.0,6.0,11.0,0.6,0.55,24.4,7.175000000000001,24.82,2.0,22.885,-0.08632378600501248,-1.1498729912161703,0.761232649669741,16.583422339821478,0.0
65,19.0,6.0,11.0,0.6,0.625,23.8,7.475000000000001,23.995,2.0,21.55,-0.4072363928604668,-0.968040518047539,0.761232649669741,16.647647657836153,0.0
66,19.0,6.0,11.0,0.6,0.625,23.95,7.625,24.07,2.0,21.875,-0.3381450165494584,-1.0240495983106492,0.761232649669741,16.566858499506715,0.0
67,19.0,6.0,11.0,0.6,0.625,24.1,7.68,24.315,2.0,22.185000000000002,-0.2671919787433513,-1.070996262784473,0.761232649669741,16.488665170983776,0.0
68,19.0,6.0,11.0,0.6,0.625,24.25,7.440000000000001,24.555,2.0,22.475,-0.19555565703407327,-1.1094870526308274,0.761232649669741,16.529863372110736,0.0
69,19.0,6.0,11.0,0.6,0.625,24.4,7.260000000000002,24.735,2.0,22.76,-0.12313631406934875,-1.1405467582145836,0.761232649669741,16.565418971454715,0.0
70,19.0,6.0,11.0,0.6,0.7,23.8,7.41,23.995,2.0,21.415,-0.4372211280462829,-0.9398527920440082,0.761232649669741,16.675775772531654,0.0
71,19.0,6.0,11.0,0.6,0.7,23.95,7.585000000000001,23.995,2.0,21.75,-0.3693185417781062,-1.0012684524313524,0.761232649669741,16.59970807383754,0.0
72,19.0,6.0,11.0,0.6,0.7,24.1,7.690000000000001,24.21,2.0,22.060000000000002,-0.30004332779208165,-1.052337601277474,0.761232649669741,16.508296662936218,0.0
73,19.0,6.0,11.0,0.6,0.7,24.25,7.545000000000002,24.45,2.0,22.355,-0.22946745393273668,-1.0948793842097906,0.761232649669741,16.510734425646014,0.0
74,19.0,6.0,11.0,0.6,0.7,24.4,7.34,24.655,2.0,22.64,-0.15859981481427557,-1.1294427848595068,0.761232649669741,16.548603571024906,0.0
75,19.0,6.0,11.0,0.6499999999999999,0.4,23.8,7.605,24.115000000000002,2.0,21.91,-0.31844293153914977,-1.0317830350062032,0.7401762445566982,16.566309930975255,0.0
76,19.0,6.0,11.0,0.6499999999999999,0.4,23.95,7.620000000000001,24.375,2.0,22.235,-0.24168134713812628,-1.0763616196352628,0.7401762445566982,16.501570869816554,0.0
77,19.0,6.0,11.0,0.6499999999999999,0.4,24.1,7.359999999999999,24.635,2.0,22.545,-0.1632611458027421,-1.1124569550637735,0.7401762445566982,16.547446592523457,0.0
78,19.0,6.0,11.0,0.6499999999999999,0.4,24.25,7.150000000000002,24.845,2.0,22.855,-0.08317637349270175,-1.1406239225858594,0.7401762445566982,16.58872877702363,0.0
79,19.0,6.0,11.0,0.6499999999999999,0.4,24.4,6.969999999999999,25.025000000000002,2.0,23.165,-0.002073184611920283,-1.1607747242339548,0.7401762445566982,16.62739109264016,0.0
80,19.0,6.0,11.0,0.6499999999999999,0.475,23.8,7.574999999999999,24.01,2.0,21.785,-0.35050828322803174,-1.0113169660070787,0.7401762445566982,16.60091113470459,0.0
81,19.0,6.0,11.0,0.6499999999999999,0.475,23.95,7.665000000000003,24.27,2.0,22.11,-0.2759069999431576,-1.0597446254708809,0.7401762445566982,16.506873667811288,0.0
82,19.0,6.0,11.0,0.6499999999999999,0.475,24.1,7.469999999999999,24.525000000000002,2.0,22.425,-0.1991272638949128,-1.0997947148519955,0.7401762445566982,16.526893834305625,0.0
83,19.0,6.0,11.0,0.6499999999999999,0.475,24.25,7.240000000000002,24.755,2.0,22.73,-0.12122241584354047,-1.1316311136916402,0.7401762445566982,16.56963822621201,0.0
84,19.0,6.0,11.0,0.6499999999999999,0.475,24.4,7.065000000000001,24.93,2.0,23.03,-0.04249292144188907,-1.1556193956864318,0.7401762445566982,16.60691094471864,0.0
85,19.0,6.0,11.0,0.6499999999999999,0.55,23.8,7.524999999999999,23.995,2.0,21.66,-0.38178734912546547,-0.9885840944767288,0.7401762445566982,16.62591635794593,0.0
