simulation_id,mu,Delta,chi,sleep_time,number_of_switches,x_f,xc_f,n_f,H_f,S_f
95,19.0,9.0,7.0,7.0555902560899435,2.0,-0.7027693682219427,-0.8358968021264342,0.15996243827182915,15.321882750795693,1.0
96,19.0,9.0,8.0,6.74578388507183,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,16.108704161806873,1.0
102,19.5,5.0,9.0,6.900687070580887,1.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,14.277006193036922,1.0
103,19.5,5.0,10.0,7.335415365396627,1.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,14.246621100768861,1.0
104,19.5,5.0,11.0,7.690193628981886,1.0,-0.7027693765728972,-0.835896793524124,0.15996243827182915,14.170129541657257,1.0
106,19.5,6.0,8.0,6.78575890068707,1.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,14.13176260983838,1.0
107,19.5,6.0,9.0,7.3104309806371015,1.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,14.159891442568021,1.0
108,19.5,6.0,10.0,7.730168644597127,1.0,-0.7027693764907212,-0.8358967936087746,0.15996243827182915,14.112999464073566,1.0
109,19.5,6.0,11.0,7.965021861336664,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,14.1033148352812,1.0
110,19.5,7.0,7.0,6.555902560899438,1.0,-0.7027693766877086,-0.8358967934058568,0.15996243827182915,13.9010373815921,1.0
111,19.5,7.0,8.0,7.20049968769519,1.0,-0.7027693766877086,-0.8358967934058568,0.15996243827182915,14.032758443901965,1.0
112,19.5,7.0,9.0,7.705184259837601,1.0,-0.7027693763018545,-0.8358967938033224,0.15996243827182915,14.042007183353439,1.0
113,19.5,7.0,10.0,7.705184259837601,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,14.528839845762185,1.0
114,19.5,7.0,11.0,7.445346658338538,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,14.993271299100972,1.0
115,19.5,8.0,7.0,6.975640224859463,1.0,-0.7027693766877086,-0.8358967934058568,0.15996243827182915,13.823444593798786,1.0
116,19.5,8.0,8.0,7.59525296689569,1.0,-0.702769376079076,-0.8358967940328094,0.15996243827182915,13.93351147308154,1.0
117,19.5,8.0,9.0,7.470331043098064,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,14.96050576316614,1.0
118,19.5,8.0,10.0,7.185509056839475,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.50237149170966,1.0
119,19.5,8.0,11.0,6.950655840099937,2.0,-0.702424273606269,-0.8362844181519722,0.15996243827182915,15.872190841692369,1.0
120,19.5,9.0,7.0,7.345409119300437,2.0,-0.7027693763018545,-0.8358967938033224,0.15996243827182915,14.129479745942728,1.0
121,19.5,9.0,8.0,7.250468457214241,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.378430016224875,1.0
122,19.5,9.0,9.0,6.940662086196127,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,16.030337863938183,1.0
123,19.5,9.0,10.0,6.690818238600874,2.0,-0.702424273606269,-0.8362844181519722,0.15996243827182915,16.46902807512544,1.0
