lights_on,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition,baseline_lux
9,10,ebook_first,22.360000000000014,7.579999999999984,3.4850000000000136,21.60000000000082,Book,90
9,11,ebook_first,22.204999999999984,7.5400000000000205,3.200000000000017,12.299999999999045,Book,90
9,12,ebook_first,22.0,7.550000000000011,2.9599999999999795,0.0,Book,90
9,13,ebook_first,21.995000000000005,7.410000000000025,2.759999999999991,0.0,None,90
7,1,ebook_first,22.93,7.065000000000001,4.5,55.79999999999998,None,90
7,2,ebook_first,23.020000000000003,6.975000000000001,4.254999999999999,61.20000000000019,eBook,90
7,3,ebook_first,22.820000000000007,7.174999999999997,4.329999999999998,49.20000000000044,eBook,90
7,4,ebook_first,22.72500000000001,7.269999999999996,4.070000000000007,43.50000000000051,eBook,90
7,5,ebook_first,22.644999999999996,7.3500000000000085,3.865000000000009,38.69999999999976,eBook,90
7,6,ebook_first,22.575000000000017,7.4199999999999875,3.7049999999999983,34.50000000000102,eBook,90
7,7,ebook_first,22.55000000000001,7.444999999999993,3.575000000000017,33.00000000000068,None,90
7,8,ebook_first,22.525000000000006,7.469999999999999,3.3950000000000102,31.50000000000034,Book,90
7,9,ebook_first,22.325000000000017,7.569999999999993,3.420000000000016,19.500000000001023,Book,90
7,10,ebook_first,22.155,7.545000000000016,3.1450000000000102,9.300000000000068,Book,90
7,11,ebook_first,21.995000000000005,7.545000000000016,2.914999999999992,0.0,Book,90
7,12,ebook_first,21.995000000000005,7.509999999999991,2.7250000000000227,0.0,Book,90
7,13,ebook_first,21.995000000000005,7.360000000000014,2.569999999999993,0.0,None,90
6,1,ebook_first,22.535,7.460000000000001,3.5,32.10000000000001,None,90
6,2,ebook_first,22.625,7.3700000000000045,3.3550000000000004,37.5,eBook,90
6,3,ebook_first,22.519999999999996,7.4750000000000085,3.5799999999999983,31.19999999999976,eBook,90
6,4,ebook_first,22.485,7.510000000000005,3.4750000000000085,29.099999999999966,eBook,90
6,5,ebook_first,22.455,7.540000000000006,3.394999999999996,27.299999999999898,eBook,90
6,6,ebook_first,22.430000000000007,7.564999999999998,3.335000000000008,25.80000000000041,eBook,90
6,7,ebook_first,22.400000000000006,7.430000000000007,3.2849999999999966,24.00000000000034,None,90
6,8,ebook_first,22.314999999999998,7.590000000000003,3.125,18.899999999999864,Book,90
6,9,ebook_first,22.185000000000002,7.545000000000016,3.1899999999999977,11.100000000000136,Book,90
6,10,ebook_first,21.995000000000005,7.550000000000011,2.950000000000017,0.0,Book,90
6,11,ebook_first,21.995000000000005,7.514999999999986,2.7549999999999955,0.0,Book,90
6,12,ebook_first,21.995000000000005,7.480000000000018,2.590000000000032,0.0,Book,90
6,13,ebook_first,21.995000000000005,7.3349999999999795,2.454999999999984,0.0,None,90
4,1,ebook_first,21.995,7.129999999999999,1.5,0.0,None,90
4,2,ebook_first,21.994999999999997,7.335000000000001,1.504999999999999,0.0,eBook,90
4,3,ebook_first,21.995000000000005,7.394999999999996,2.0500000000000043,0.0,eBook,90
4,4,ebook_first,21.995000000000005,7.450000000000003,2.239999999999995,0.0,eBook,90
4,5,ebook_first,21.995000000000005,7.489999999999995,2.4000000000000057,0.0,eBook,90
4,6,ebook_first,21.995000000000005,7.525000000000006,2.530000000000001,0.0,eBook,90
4,7,ebook_first,21.995000000000005,7.375,2.634999999999991,0.0,None,90
4,8,ebook_first,21.995000000000005,7.550000000000011,2.530000000000001,0.0,Book,90
4,9,ebook_first,21.995000000000005,7.4950000000000045,2.670000000000016,0.0,Book,90
4,10,ebook_first,21.995000000000005,7.465000000000003,2.515000000000015,0.0,Book,90
4,11,ebook_first,21.995000000000005,7.435000000000002,2.3950000000000102,0.0,Book,90
4,12,ebook_first,21.995000000000005,7.410000000000025,2.2900000000000205,0.0,Book,90
4,13,ebook_first,21.995000000000005,7.269999999999982,2.204999999999984,0.0,None,90
5,1,ebook_first,21.995,7.375,2.5,0.0,None,90
5,2,ebook_first,21.994999999999997,7.600000000000001,2.4400000000000013,0.0,eBook,90
5,3,ebook_first,22.034999999999997,7.590000000000003,2.825000000000003,2.0999999999997954,eBook,90
5,4,ebook_first,22.08,7.590000000000003,2.8700000000000045,4.799999999999898,eBook,90
5,5,ebook_first,22.11500000000001,7.589999999999989,2.9099999999999966,6.900000000000546,eBook,90
5,6,ebook_first,22.14500000000001,7.590000000000003,2.9450000000000074,8.700000000000614,eBook,90
5,7,ebook_first,22.129999999999995,7.420000000000016,2.969999999999999,7.799999999999727,None,90
5,8,ebook_first,22.05000000000001,7.599999999999994,2.8400000000000034,3.000000000000682,Book,90
5,9,ebook_first,21.995000000000005,7.550000000000011,2.9399999999999977,0.0,Book,90
5,10,ebook_first,21.995000000000005,7.514999999999986,2.740000000000009,0.0,Book,90
5,11,ebook_first,21.995000000000005,7.475000000000023,2.5800000000000125,0.0,Book,90
5,12,ebook_first,21.995000000000005,7.449999999999989,2.444999999999993,0.0,Book,90
5,13,ebook_first,21.995000000000005,7.305000000000007,2.3349999999999795,0.0,None,90
5,1,ebook_second,21.995,7.375,2.5,0.0,None,90
5,2,ebook_second,21.994999999999997,7.530000000000001,2.4400000000000013,0.0,Book,90
5,3,ebook_second,21.995000000000005,7.480000000000004,2.594999999999999,0.0,Book,90
5,4,ebook_second,21.995000000000005,7.450000000000003,2.4549999999999983,0.0,Book,90
5,5,ebook_second,21.995000000000005,7.424999999999997,2.344999999999999,0.0,Book,90
5,6,ebook_second,21.995000000000005,7.400000000000006,2.25,0.0,Book,90
5,7,ebook_second,21.995000000000005,7.259999999999991,2.170000000000016,0.0,None,90
5,8,ebook_second,21.995000000000005,7.509999999999991,2.1049999999999898,0.0,eBook,90
5,9,ebook_second,21.995000000000005,7.525000000000006,2.545000000000016,0.0,eBook,90
5,10,ebook_second,21.995000000000005,7.555000000000007,2.6450000000000102,0.0,eBook,90
5,11,ebook_second,21.995000000000005,7.574999999999989,2.730000000000018,0.0,eBook,90
5,12,ebook_second,22.019999999999982,7.590000000000032,2.795000000000016,1.1999999999989086,eBook,90
5,13,ebook_second,22.014999999999986,7.420000000000016,2.8500000000000227,0.8999999999991815,None,90
4,1,ebook_second,21.995,7.129999999999999,1.5,0.0,None,90
4,2,ebook_second,21.994999999999997,7.290000000000006,1.504999999999999,0.0,Book,90
4,3,ebook_second,21.995000000000005,7.284999999999997,1.7950000000000017,0.0,Book,90
4,4,ebook_second,21.995000000000005,7.284999999999997,1.7900000000000063,0.0,Book,90
4,5,ebook_second,21.995000000000005,7.284999999999997,1.7849999999999966,0.0,Book,90
4,6,ebook_second,21.995000000000005,7.284999999999997,1.7849999999999966,0.0,Book,90
4,7,ebook_second,21.995000000000005,7.155000000000001,1.7849999999999966,0.0,None,90
4,8,ebook_second,21.995000000000005,7.405000000000001,1.7450000000000045,0.0,eBook,90
4,9,ebook_second,21.995000000000005,7.449999999999989,2.2450000000000045,0.0,eBook,90
4,10,ebook_second,21.995000000000005,7.490000000000009,2.4000000000000057,0.0,eBook,90
4,11,ebook_second,21.995000000000005,7.524999999999977,2.530000000000001,0.0,eBook,90
4,12,ebook_second,21.995000000000005,7.555000000000007,2.634999999999991,0.0,eBook,90
4,13,ebook_second,21.995000000000005,7.394999999999982,2.7250000000000227,0.0,None,90
6,1,ebook_second,22.535,7.460000000000001,3.5,32.10000000000001,None,90
6,2,ebook_second,22.505000000000003,7.490000000000002,3.3550000000000004,30.300000000000153,Book,90
6,3,ebook_second,22.314999999999998,7.564999999999998,3.3900000000000006,18.899999999999864,Book,90
6,4,ebook_second,22.14,7.545000000000002,3.1200000000000045,8.400000000000034,Book,90
6,5,ebook_second,21.995000000000005,7.539999999999992,2.894999999999996,0.0,Book,90
6,6,ebook_second,21.995000000000005,7.5049999999999955,2.710000000000008,0.0,Book,90
6,7,ebook_second,21.995000000000005,7.359999999999985,2.555000000000007,0.0,None,90
6,8,ebook_second,21.995000000000005,7.60499999999999,2.460000000000008,0.0,eBook,90
6,9,ebook_second,22.045000000000016,7.589999999999975,2.835000000000008,2.700000000000955,eBook,90
6,10,ebook_second,22.085000000000008,7.590000000000003,2.8799999999999955,5.1000000000004775,eBook,90
6,11,ebook_second,22.120000000000005,7.589999999999975,2.920000000000016,7.200000000000273,eBook,90
6,12,ebook_second,22.144999999999982,7.590000000000032,2.9499999999999886,8.699999999998909,eBook,90
6,13,ebook_second,22.13499999999999,7.420000000000016,2.9750000000000227,8.099999999999454,None,90
7,1,ebook_second,22.93,7.065000000000001,4.5,55.79999999999998,None,90
7,2,ebook_second,22.950000000000003,7.045000000000002,4.254999999999999,57.00000000000017,Book,90
7,3,ebook_second,22.665000000000006,7.329999999999998,4.189999999999998,39.900000000000375,Book,90
7,4,ebook_second,22.495000000000005,7.5,3.7849999999999966,29.700000000000273,Book,90
7,5,ebook_second,22.345,7.575000000000003,3.4450000000000074,20.699999999999932,Book,90
7,6,ebook_second,22.180000000000007,7.539999999999992,3.1650000000000063,10.80000000000041,Book,90
7,7,ebook_second,22.095,7.420000000000016,2.9350000000000023,5.699999999999932,None,90
7,8,ebook_second,22.164999999999992,7.650000000000006,2.805000000000007,9.899999999999523,eBook,90
7,9,ebook_second,22.275000000000006,7.594999999999999,3.1200000000000045,16.50000000000034,eBook,90
7,10,ebook_second,22.28,7.590000000000003,3.1100000000000136,16.800000000000068,eBook,90
7,11,ebook_second,22.28000000000003,7.589999999999975,3.0999999999999943,16.800000000001774,eBook,90
7,12,ebook_second,22.275000000000034,7.589999999999975,3.1000000000000227,16.500000000002046,eBook,90
7,13,ebook_second,22.25,7.4150000000000205,3.0950000000000273,15.0,None,90
9,1,ebook_second,23.98,6.015000000000001,6.0,118.80000000000003,None,90
9,2,ebook_second,23.619999999999997,6.375000000000007,5.84,97.19999999999985,Book,90
9,3,ebook_second,23.305000000000007,6.689999999999998,5.6200000000000045,78.30000000000041,Book,90
9,4,ebook_second,23.025000000000006,6.969999999999999,4.984999999999999,61.50000000000034,Book,90
9,5,ebook_second,22.78,7.215000000000003,4.439999999999998,46.80000000000007,Book,90
9,6,ebook_second,22.585000000000008,7.409999999999997,3.9849999999999994,35.10000000000048,Book,90
