simulation_id,mu,Delta,chi,p,k,tauc,sleep_time,bedtime,number_of_switches,dlmo,x_f,xc_f,n_f,H_f,S_f
31,19.0,6.0,11.0,0.4,-0.5,23.8,6.620000000000001,23.375,2.0,21.96,-0.3021176615331205,-1.019916771177196,0.17512126698088631,16.080718472980294,1.0
35,19.0,6.0,11.0,0.4,0.0,23.5,7.560000000000002,22.325,2.0,20.065,-0.7417258552703748,-0.7621860905433271,0.17512126698088631,14.278272503207246,1.0
36,19.0,6.0,11.0,0.4,0.0,23.8,7.350000000000001,22.645,2.0,20.67,-0.6367314470990155,-0.8723041279908496,0.17512126698088631,14.78033656022703,1.0
37,19.0,6.0,11.0,0.4,0.0,24.1,7.060000000000002,22.935,2.0,21.29,-0.5070541113037436,-0.9635306317138416,0.17512126698088631,15.286618703382459,1.0
38,19.0,6.0,11.0,0.4,0.0,24.4,6.740000000000002,23.255,2.0,21.955000000000002,-0.3510833024822308,-1.0336389404315935,0.17512126698088631,15.860882216359686,1.0
40,19.0,6.0,11.0,0.4,0.5,23.5,7.289999999999999,21.995,2.0,19.225,-0.8538007216324739,-0.5610480776578589,0.17512126698088631,13.953467820922201,1.0
41,19.0,6.0,11.0,0.4,0.5,23.8,7.595000000000002,22.055,2.0,19.830000000000002,-0.7995344886738409,-0.703862546523765,0.17512126698088631,13.919415427803285,1.0
42,19.0,6.0,11.0,0.4,0.5,24.1,7.560000000000002,22.435,2.0,20.385,-0.721757204615329,-0.819355241973948,0.17512126698088631,14.421961651296998,1.0
43,19.0,6.0,11.0,0.4,0.5,24.4,7.335000000000001,22.66,2.0,20.91,-0.6273121621981317,-0.9125297449506191,0.17512126698088631,14.806197520463575,1.0
44,19.0,6.0,11.0,0.4,0.5,24.7,7.100000000000001,22.895,2.0,21.43,-0.5198890506822677,-0.9868968308009347,0.17512126698088631,15.208063381407296,1.0
46,19.0,6.0,11.0,0.4,1.0,23.8,7.07,21.995,2.0,18.86,-0.8668577096600932,-0.4482134110821322,0.17512126698088631,14.030908358068878,1.0
47,19.0,6.0,11.0,0.4,1.0,24.1,7.5,21.995,2.0,19.575,-0.8417864356395014,-0.6293162942407965,0.17512126698088631,13.87808839428546,1.0
48,19.0,6.0,11.0,0.4,1.0,24.4,7.734999999999999,22.26,2.0,20.14,-0.7865714276894918,-0.7602218330082922,0.17512126698088631,14.12849809178651,1.0
49,19.0,6.0,11.0,0.4,1.0,24.7,7.545000000000002,22.45,2.0,20.63,-0.7152709348056782,-0.860522759842602,0.17512126698088631,14.44733358512456,1.0
52,19.0,6.0,11.0,0.6000000000000001,-1.0,24.1,7.234999999999999,22.76,2.0,20.935000000000002,-0.34569341409760657,-0.9884659169020135,0.15996243827182915,16.133611120512644,1.0
54,19.0,6.0,11.0,0.6000000000000001,-1.0,24.7,7.565000000000001,22.43,2.0,20.885,-0.25340834518479666,-1.0213243709368836,0.15996243827182915,16.62598944468854,1.0
55,19.0,6.0,11.0,0.6000000000000001,-0.5,23.5,7.135000000000002,22.86,2.0,20.92,-0.5478152545201744,-0.9028756688126316,0.15996243827182915,15.154401373924959,1.0
56,19.0,6.0,11.0,0.6000000000000001,-0.5,23.8,6.655000000000001,23.34,2.0,21.885,-0.3214901973773136,-1.0101124323073865,0.15996243827182915,16.016382211185885,1.0
58,19.0,6.0,11.0,0.6000000000000001,-0.5,24.4,7.155000000000001,22.84,2.0,21.61,-0.2967964889270454,-1.0025334435449231,0.15996243827182915,16.286309774330306,1.0
60,19.0,6.0,11.0,0.6000000000000001,0.0,23.5,7.539999999999999,22.215,2.0,19.945,-0.7598995432017226,-0.7343587763127971,0.15996243827182915,14.143721448643944,1.0
61,19.0,6.0,11.0,0.6000000000000001,0.0,23.8,7.370000000000001,22.625,2.0,20.615000000000002,-0.6456315120404191,-0.8581501009380683,0.15996243827182915,14.745910090806575,1.0
62,19.0,6.0,11.0,0.6000000000000001,0.0,24.1,7.045000000000002,22.95,2.0,21.3,-0.5015876580658034,-0.9594726448076787,0.15996243827182915,15.313170519290548,1.0
63,19.0,6.0,11.0,0.6000000000000001,0.0,24.4,6.685000000000002,23.31,2.0,22.045,-0.32494680286026223,-1.0355596865099868,0.15996243827182915,15.961398188649765,1.0
65,19.0,6.0,11.0,0.6000000000000001,0.5,23.5,7.224999999999998,21.995,2.0,19.075,-0.8669249090111357,-0.5241102218146466,0.15996243827182915,13.976509399446238,1.0
66,19.0,6.0,11.0,0.6000000000000001,0.5,23.8,7.574999999999999,21.995,2.0,19.765,-0.8071536457690174,-0.6868001128024332,0.15996243827182915,13.850999433536751,1.0
67,19.0,6.0,11.0,0.6000000000000001,0.5,24.1,7.555,22.44,2.0,20.385,-0.7189892364204594,-0.8148912366374284,0.15996243827182915,14.430415118631796,1.0
68,19.0,6.0,11.0,0.6000000000000001,0.5,24.4,7.295000000000002,22.7,2.0,20.965,-0.6111753761046216,-0.9161107056529629,0.15996243827182915,14.875332735918128,1.0
