simulation_idx,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition,baseline_lux
75,13,ebook_first,21.995000000000005,6.639999999999986,0.5799999999999841,0.0,None,90
7,1,ebook_first,22.400000000000002,7.494999999999997,3.4250000000000007,24.000000000000128,None,90
7,2,ebook_first,22.455,7.540000000000006,3.155000000000001,27.299999999999898,eBook,90
7,3,ebook_first,22.400000000000006,7.594999999999999,3.375,24.00000000000034,eBook,90
7,4,ebook_first,22.364999999999995,7.615000000000009,3.260000000000005,21.899999999999693,eBook,90
7,5,ebook_first,22.325000000000003,7.599999999999994,3.180000000000007,19.50000000000017,eBook,90
7,6,ebook_first,22.275000000000006,7.599999999999994,3.115000000000009,16.50000000000034,eBook,90
7,7,ebook_first,22.164999999999992,7.420000000000016,3.069999999999993,9.899999999999523,None,90
7,8,ebook_first,22.004999999999995,7.6200000000000045,2.825000000000017,0.29999999999972715,Book,90
7,9,ebook_first,21.995000000000005,7.534999999999997,2.865000000000009,0.0,Book,90
7,10,ebook_first,21.995000000000005,7.47999999999999,2.6100000000000136,0.0,Book,90
7,11,ebook_first,21.995000000000005,7.435000000000002,2.414999999999992,0.0,Book,90
7,12,ebook_first,21.995000000000005,7.394999999999982,2.2649999999999864,0.0,Book,90
7,13,ebook_first,21.995000000000005,7.240000000000009,2.1399999999999864,0.0,None,90
6,1,ebook_first,22.185,7.370000000000001,3.1400000000000006,11.099999999999923,None,90
6,2,ebook_first,22.075000000000003,7.614999999999995,2.7600000000000016,4.5000000000001705,eBook,90
6,3,ebook_first,22.055000000000007,7.554999999999993,2.9450000000000003,3.3000000000004093,eBook,90
6,4,ebook_first,21.995000000000005,7.539999999999992,2.8100000000000023,0.0,eBook,90
6,5,ebook_first,21.995000000000005,7.515000000000001,2.7150000000000034,0.0,eBook,90
6,6,ebook_first,21.995000000000005,7.5,2.6400000000000006,0.0,eBook,90
6,7,ebook_first,21.995000000000005,7.284999999999997,2.585000000000008,0.0,None,90
6,8,ebook_first,21.995000000000005,7.425000000000011,2.259999999999991,0.0,Book,90
6,9,ebook_first,21.995000000000005,7.3300000000000125,2.2700000000000102,0.0,Book,90
