simulation_idx,mu,Delta,chi,p,k,tauc,forced_wakeup_light_threshold,sleep_duration,sleep_onset,sleep_offset,dlmo,x_f,xc_f,n_f,H_f,S_f
45,19.0,6.0,11.0,0.55,0.7,23.8,0.5,7.4150000000000205,309.995,317.41,19.435000000000002,-0.8456394035202675,-0.6058045766134413,0.16413461883655128,13.908872224822328,1.0
79,19.0,6.0,11.0,0.6499999999999999,0.4,24.4,0.5,7.180000000000007,310.815,317.995,21.160000000000025,-0.5619216352690992,-0.942775951601966,0.15553772802775026,15.06755550464417,1.0
5,19.0,6.0,11.0,0.5,0.475,23.8,0.5,7.590000000000032,310.065,317.65500000000003,19.83499999999998,-0.7973676527458794,-0.7051703852441992,0.16805113894097778,13.93383099669473,1.0
4,19.0,6.0,11.0,0.5,0.4,24.4,0.5,7.21999999999997,310.77500000000003,317.995,21.105000000000018,-0.5775130226577229,-0.9398098716219576,0.16805113894097778,15.005553837247117,1.0
78,19.0,6.0,11.0,0.6499999999999999,0.4,24.25,0.5,7.324999999999989,310.67,317.995,20.855000000000018,-0.6252172387661883,-0.8964033786826698,0.15553772802775026,14.823371832716878,1.0
44,19.0,6.0,11.0,0.55,0.625,24.4,0.5,7.420000000000016,310.575,317.995,20.74000000000001,-0.6651725294431046,-0.8806439554956298,0.16413461883655128,14.660032283857408,1.0
50,19.0,6.0,11.0,0.6,0.4,23.8,0.5,7.59499999999997,310.15000000000003,317.745,19.92500000000001,-0.7823638718353886,-0.724031437155483,0.15996243827183032,14.04006551241658,1.0
87,19.0,6.0,11.0,0.6499999999999999,0.55,24.1,0.5,7.59499999999997,310.40000000000003,317.995,20.30000000000001,-0.7345262776252748,-0.7970877716266594,0.15553772802775026,14.362811587276067,1.0
93,19.0,6.0,11.0,0.6499999999999999,0.625,24.25,0.5,7.529999999999973,310.46500000000003,317.995,20.480000000000018,-0.7087942714726875,-0.8312445928791925,0.15553772802775026,14.480282995766421,1.0
85,19.0,6.0,11.0,0.6499999999999999,0.55,23.8,0.5,7.524999999999977,309.995,317.52,19.65500000000003,-0.821277509328607,-0.6605573205706025,0.15553772802775026,13.869120113263254,1.0
