simulation_idx,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition,indoor_light,reading_duration
82,8,chang14_ebook_second,21.995000000000005,6.7949999999999875,1.9650000000000034,0.0,eBook,190,4
82,9,chang14_ebook_second,21.995000000000005,6.7949999999999875,2.405000000000001,0.0,eBook,190,4
82,10,chang14_ebook_second,21.995000000000005,6.800000000000011,2.420000000000016,0.0,eBook,190,4
82,11,chang14_ebook_second,21.995000000000005,6.805000000000007,2.4350000000000023,0.0,eBook,190,4
82,12,chang14_ebook_second,21.995000000000005,6.810000000000002,2.4499999999999886,0.0,eBook,190,4
82,13,chang14_ebook_second,21.995000000000005,6.6200000000000045,2.465000000000032,0.0,None,190,4
83,1,chang14_ebook_first,22.0,7.190000000000001,3.5,0.0,None,190,4
83,2,chang14_ebook_first,21.994999999999997,7.455000000000005,3.2300000000000004,0.0,eBook,190,4
83,3,chang14_ebook_first,21.995000000000005,7.375,3.4200000000000017,0.0,eBook,190,4
83,4,chang14_ebook_first,21.995000000000005,7.344999999999999,3.210000000000008,0.0,eBook,190,4
83,5,chang14_ebook_first,21.995000000000005,7.314999999999998,3.0450000000000017,0.0,eBook,190,4
83,6,chang14_ebook_first,21.995000000000005,7.289999999999992,2.924999999999997,0.0,eBook,190,4
83,7,chang14_ebook_first,21.995000000000005,7.069999999999993,2.8300000000000125,0.0,None,190,4
83,8,chang14_ebook_first,21.995000000000005,7.27000000000001,2.5999999999999943,0.0,Book,190,4
83,9,chang14_ebook_first,21.995000000000005,7.189999999999998,2.694999999999993,0.0,Book,190,4
83,10,chang14_ebook_first,21.995000000000005,7.139999999999986,2.4250000000000114,0.0,Book,190,4
83,11,chang14_ebook_first,21.995000000000005,7.095000000000027,2.2150000000000034,0.0,Book,190,4
83,12,chang14_ebook_first,21.995000000000005,7.060000000000002,2.0500000000000114,0.0,Book,190,4
83,13,chang14_ebook_first,21.995000000000005,6.865000000000009,1.920000000000016,0.0,None,190,4
83,1,chang14_ebook_second,22.0,7.190000000000001,3.5,0.0,None,190,4
83,2,chang14_ebook_second,21.994999999999997,7.385000000000005,3.2300000000000004,0.0,Book,190,4
83,3,chang14_ebook_second,21.995000000000005,7.284999999999997,3.230000000000004,0.0,Book,190,4
83,4,chang14_ebook_second,21.995000000000005,7.224999999999994,2.8500000000000085,0.0,Book,190,4
83,5,chang14_ebook_second,21.995000000000005,7.164999999999992,2.549999999999997,0.0,Book,190,4
83,6,chang14_ebook_second,21.995000000000005,7.1200000000000045,2.3149999999999977,0.0,Book,190,4
83,7,chang14_ebook_second,21.995000000000005,6.9199999999999875,2.1299999999999955,0.0,None,190,4
