simulation_idx,mu,Delta,chi,p,k,tauc,forced_wakeup_light_threshold,sleep_duration,sleep_onset,sleep_offset,dlmo,x_f,xc_f,n_f,H_f,S_f
83,19.0,6.0,10.0,0.6,0.55,24.2,0.5,7.560000000000002,310.03000000000003,317.59000000000003,20.495000000000005,-0.7032394995421056,-0.8354153960160785,0.15996243827183032,13.857857865369688,1.0
96,19.0,9.0,8.0,0.6,0.55,24.2,0.5,6.75,311.245,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,16.108679195033666,1.0
82,19.0,6.0,9.0,0.6,0.55,24.2,0.5,7.144999999999982,309.995,317.14,20.495000000000005,-0.703239499544144,-0.8354153960139785,0.15996243827183032,13.844816820964901,1.0
57,18.5,6.0,9.0,0.6,0.55,24.2,0.5,6.970000000000027,309.995,316.96500000000003,20.495000000000005,-0.703239499544144,-0.8354153960139785,0.15996243827183032,13.527623059402764,1.0
94,19.0,8.0,11.0,0.6,0.55,24.2,0.5,6.535000000000025,311.46,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,16.237723155694646,1.0
81,19.0,6.0,8.0,0.6,0.55,24.2,0.5,6.6200000000000045,309.995,316.615,20.495000000000005,-0.703239499544144,-0.8354153960139785,0.15996243827183032,13.807557995142098,1.0
95,19.0,9.0,7.0,0.6,0.55,24.2,0.5,7.059999999999945,310.90000000000003,317.96,20.495000000000005,-0.7032394995189789,-0.8354153960399482,0.15996243827183032,15.310964457328284,1.0
52,18.5,5.0,9.0,0.6,0.55,24.2,0.5,6.53000000000003,309.995,316.52500000000003,20.495000000000005,-0.7032397562392699,-0.8354151310926161,0.15996243827183032,13.642183500441762,1.0
91,19.0,8.0,8.0,0.6,0.55,24.2,0.5,7.295000000000016,310.69,317.985,20.495000000000005,-0.7032394991906822,-0.8354153963787646,0.15996243827183032,14.890316897758192,1.0
84,19.0,6.0,11.0,0.6,0.55,24.2,0.5,7.514999999999986,310.48,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,14.505724742854843,1.0
90,19.0,8.0,7.0,0.6,0.55,24.2,0.5,6.829999999999984,309.995,316.825,20.495000000000005,-0.703239499544144,-0.8354153960139785,0.15996243827183032,13.496538987028607,1.0
53,18.5,5.0,10.0,0.6,0.55,24.2,0.5,6.975000000000023,309.995,316.97,20.495000000000005,-0.703239499544144,-0.8354153960139785,0.15996243827183032,13.628997936131695,1.0
79,19.0,5.0,11.0,0.6,0.55,24.2,0.5,7.519999999999982,309.995,317.515,20.495000000000005,-0.7032394995435558,-0.8354153960145847,0.15996243827183032,13.870935664398871,1.0
86,19.0,7.0,8.0,0.6,0.55,24.2,0.5,7.045000000000016,309.995,317.04,20.495000000000005,-0.703239499544144,-0.8354153960139785,0.15996243827183032,13.710727606333515,1.0
92,19.0,8.0,9.0,0.6,0.55,24.2,0.5,6.9950000000000045,311.0,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,15.526912736945894,1.0
93,19.0,8.0,10.0,0.6,0.55,24.2,0.5,6.7450000000000045,311.25,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,15.94941044657168,1.0
87,19.0,7.0,9.0,0.6,0.55,24.2,0.5,7.4599999999999795,310.41,317.87,20.495000000000005,-0.7032394995386204,-0.8354153960196812,0.15996243827183032,14.404476199109595,1.0
